№,Секунда,Микросекунда
1,43,163329
2,43,174444
3,43,184630
4,43,194804
5,43,205161
6,43,215369
7,43,225993
8,43,236107
9,43,246749
10,43,257638
11,43,267824
12,43,277946
13,43,288500
14,43,299011
15,43,309616
16,43,320348
17,43,330979
18,43,341491
19,43,351831
20,43,362460
21,43,372986
22,43,383913
23,43,394420
24,43,404860
25,43,415444
26,43,425991
27,43,436650
28,43,447037
29,43,457370
30,43,467717
31,43,478277
32,43,488415
33,43,499219
34,43,509557
35,43,519987
36,43,530483
37,43,541173
38,43,551712
39,43,562149
40,43,572610
41,43,583221
42,43,593871
43,43,604776
44,43,615430
45,43,626015
46,43,636403
47,43,647049
48,43,657645
49,43,667937
50,43,678585
51,43,689155
52,43,699615
53,43,710043
54,43,720883
55,43,731439
56,43,742102
57,43,752545
58,43,763057
59,43,774026
60,43,784503
61,43,794844
62,43,805868
63,43,816387
64,43,827188
65,43,838085
66,43,848425
67,43,858647
68,43,869127
69,43,879630
70,43,890109
71,43,900413
72,43,910922
73,43,921435
74,43,931952
75,43,942561
76,43,953072
77,43,963579
78,43,974086
79,43,984603
80,43,995201
81,44,6008
82,44,16464
83,44,26860
84,44,37678
85,44,48604
86,44,59123
87,44,69267
88,44,79805
89,44,90628
90,44,100993
91,44,111797
92,44,122285
93,44,132740
94,44,143292
95,44,153845
96,44,164783
97,44,175244
98,44,185482
99,44,195905
100,44,206547
101,44,217509
102,44,228022
103,44,238197
104,44,248458
105,44,259105
106,44,269227
107,44,279723
108,44,289925
109,44,300400
110,44,310957
111,44,321593
112,44,332132
113,44,342651
114,44,352849
115,44,363426
116,44,373752
117,44,384293
118,44,394480
119,44,405270
120,44,415802
121,44,426274
122,44,436597
123,44,447198
124,44,457275
125,44,467769
126,44,478126
127,44,488661
128,44,498857
129,44,509053
130,44,519181
131,44,529747
132,44,540171
133,44,550675
134,44,561140
135,44,571696
136,44,582153
137,44,593034
138,44,603212
139,44,613771
140,44,624300
141,44,634740
142,44,645230
143,44,655835
144,44,666035
145,44,676569
146,44,687112
147,44,698030
148,44,708461
149,44,718986
150,44,729477
151,44,739771
152,44,750703
153,44,761222
154,44,771505
155,44,782017
156,44,792293
157,44,802848
158,44,813046
159,44,823561
160,44,834082
161,44,844601
162,44,855149
163,44,865313
164,44,875419
165,44,885667
166,44,896167
167,44,906412
168,44,917033
169,44,927608
170,44,938162
171,44,948713
172,44,959171
173,44,969698
174,44,980323
175,44,990895
176,45,1357
177,45,11836
178,45,22325
179,45,33022
180,45,43281
181,45,53432
182,45,63546
183,45,74029
184,45,84489
185,45,94948
186,45,105439
187,45,115962
188,45,126535
189,45,136956
190,45,147889
191,45,158273
192,45,168454
193,45,179045
194,45,189100
195,45,199587
196,45,210047
197,45,220913
198,45,231528
199,45,242018
200,45,252299
201,45,262884
202,45,273347
203,45,283829
204,45,294387
205,45,304896
206,45,315400
207,45,325513
208,45,335764
209,45,346338
210,45,356486
211,45,367156
212,45,377689
213,45,388288
214,45,398829
215,45,409164
216,45,419467
217,45,429811
218,45,440382
219,45,450754
220,45,461289
221,45,471731
222,45,482258
223,45,492873
224,45,503170
225,45,513683
226,45,524283
227,45,534789
228,45,545642
229,45,556144
230,45,566630
231,45,577155
232,45,588054
233,45,598566
234,45,608700
235,45,618859
236,45,629366
237,45,639552
238,45,650555
239,45,660714
240,45,671717
241,45,682565
242,45,692905
243,45,703461
244,45,713974
245,45,724900
246,45,735412
247,45,746106
248,45,756640
249,45,767001
250,45,777959
251,45,788472
252,45,798622
253,45,809070
254,45,819584
255,45,830370
256,45,840765
257,45,851322
258,45,861976
259,45,872497
260,45,883085
261,45,893944
262,45,904839
263,45,915041
264,45,925212
265,45,935464
266,45,945910
267,45,956018
268,45,966575
269,45,976905
270,45,987236
271,45,997794
272,46,8170
273,46,18531
274,46,28647
275,46,38784
276,46,49189
277,46,59674
278,46,70410
279,46,80991
280,46,91058
281,46,101525
282,46,112282
283,46,122823
284,46,133453
285,46,143966
286,46,154483
287,46,164971
288,46,175310
289,46,185817
290,46,196332
291,46,206867
292,46,217221
293,46,227731
294,46,238290
295,46,248443
296,46,258829
297,46,269111
298,46,279263
299,46,289623
300,46,300167
